resultado,desde,hasta,n,predicha,observada,period,model
visitante,0.0,0.2,10,0.16211900506959026,0.1,2026_available,walk_forward_dc
visitante,0.2,0.4,31,0.3191953953908752,0.3225806451612903,2026_available,walk_forward_dc
visitante,0.4,0.6,8,0.46689592049484363,0.5,2026_available,walk_forward_dc
visitante,0.6,0.8,1,0.6336026035507324,1.0,2026_available,walk_forward_dc
visitante,0.8,1.0,0,,,2026_available,walk_forward_dc
local,0.0,0.2,2,0.16781684004128067,0.0,2026_available,walk_forward_poisson
local,0.2,0.4,18,0.3418490685997615,0.2777777777777778,2026_available,walk_forward_poisson
local,0.4,0.6,22,0.46693157428461324,0.36363636363636365,2026_available,walk_forward_poisson
local,0.6,0.8,8,0.6372185338951268,0.625,2026_available,walk_forward_poisson
local,0.8,1.0,0,,,2026_available,walk_forward_poisson
empate,0.0,0.2,4,0.19013757928265354,0.0,2026_available,walk_forward_poisson
empate,0.2,0.4,46,0.24498497764229657,0.34782608695652173,2026_available,walk_forward_poisson
empate,0.4,0.6,0,,,2026_available,walk_forward_poisson
empate,0.6,0.8,0,,,2026_available,walk_forward_poisson
empate,0.8,1.0,0,,,2026_available,walk_forward_poisson
visitante,0.0,0.2,9,0.16191918063654415,0.1111111111111111,2026_available,walk_forward_poisson
visitante,0.2,0.4,31,0.3175584045460533,0.2903225806451613,2026_available,walk_forward_poisson
visitante,0.4,0.6,8,0.44641345637366653,0.5,2026_available,walk_forward_poisson
visitante,0.6,0.8,2,0.6190450366885449,1.0,2026_available,walk_forward_poisson
visitante,0.8,1.0,0,,,2026_available,walk_forward_poisson
