season,model,n,rps,log_loss,accuracy,mean_draw_probability,observed_draw_rate,baseline_rps,baseline_log_loss,baseline_accuracy,baseline_mean_draw_probability,baseline_observed_draw_rate,new_team_matches
2023,frozen_dc,380,0.20031392407630436,0.9613054942984275,0.5605263157894737,0.2445308224544557,0.21578947368421053,0.2337773160972607,1.0541582793820072,0.4605263157894737,0.2350877192982456,0.21578947368421053,38
2023,walk_forward_dc,380,0.1909594838981914,0.9334793690221141,0.5921052631578947,0.22862073350979759,0.21578947368421053,0.23382839576560516,1.0543509340737907,0.4605263157894737,0.2338180553592998,0.21578947368421053,1
2023,walk_forward_poisson,380,0.19092224010873937,0.9334238010935696,0.5921052631578947,0.2205031027470088,0.21578947368421053,0.23382839576560516,1.0543509340737907,0.4605263157894737,0.2338180553592998,0.21578947368421053,1
2024,frozen_dc,380,0.210758431982657,1.0102985283716366,0.4921052631578947,0.2328216208869165,0.24473684210526317,0.23542451523545707,1.081202866156073,0.40789473684210525,0.2331578947368421,0.24473684210526317,38
2024,walk_forward_dc,380,0.19708401718512816,0.9705639457991886,0.5289473684210526,0.2293153804526869,0.24473684210526317,0.2353755425080686,1.0811463901065874,0.40789473684210525,0.23434319940289597,0.24473684210526317,1
2024,walk_forward_poisson,380,0.19717109515757902,0.9719077896128235,0.5289473684210526,0.22119532525832655,0.24473684210526317,0.2353755425080686,1.0811463901065874,0.40789473684210525,0.23434319940289597,0.24473684210526317,1
2025,frozen_dc,380,0.21109354511794323,1.0345933069313105,0.47368421052631576,0.24364239155720072,0.2736842105263158,0.2276749902703693,1.0835184247317433,0.4263157894736842,0.23421052631578948,0.2736842105263158,0
2025,walk_forward_dc,380,0.20726503155080908,1.022525758734822,0.48157894736842105,0.2472714795867826,0.2736842105263158,0.22769366092650434,1.0833936497801564,0.4263157894736842,0.23505694412517544,0.2736842105263158,0
2025,walk_forward_poisson,380,0.20739815973129008,1.024206697149043,0.48157894736842105,0.2383740204868763,0.2736842105263158,0.22769366092650434,1.0833936497801564,0.4263157894736842,0.23505694412517544,0.2736842105263158,0
2026,frozen_dc,50,0.19889625479826722,1.032549433592885,0.48,0.24822799051819136,0.32,0.22753588123268698,1.1184609283103673,0.36,0.23750000000000004,0.32,5
2026,walk_forward_dc,50,0.2023383165206306,1.0418701566167834,0.46,0.2496357304015433,0.32,0.227576660722435,1.118624437267774,0.36,0.2377310742354691,0.32,1
2026,walk_forward_poisson,50,0.20267368513907796,1.0458683471414865,0.46,0.24059718577352515,0.32,0.227576660722435,1.118624437267774,0.36,0.2377310742354691,0.32,1
